"","asin","product_name","sku","price_cleaning","native_price","discount_percentage","date","X..i.."
"1","B006JYFNUI","Imetec Acqua Bottiglia di Ricambio per Imetec Acqua Bubbles BLS 100 - BLS 110","0",NA,"0","0","1670807137.50283",NA
"2","B00TDNGW3Y","Imetec Acqua The Bottle BT 300 Bottiglia di Ricambio per Imetec Acqua The Bottle FB 110 e FB 100","0",NA,"0","0","1670807160.25008",NA
"3","B008DREKCQ","Imetec H2O Flux Technology, 3 Cartucce Filtranti per Prodotti Acqua, Ricambi Originali","0","20.1","0","0","1670807183.60858",NA
"4","B008DREU30","Imetec Acqua WP120 Caraffa Filtrante con 3 Filtri FC100 Inclusi","0",NA,"0","0","1670807205.73858",NA
"5","B00GAY1TYG","Imetec Acqua The Bottle FB 100 Bottiglia Filtrante","0",NA,"0","0","1670807228.08747",NA
"6","B00GM9FVRU","Imetec Acqua The Bottle FB 120 Bottiglia Filtrante, Family Pack","0","20.1","0","0","1670807250.15846",NA
"7","B006JNA2OG","Imetec BLS100 Gasatore d'Acqua con 3 Livelli di Gasatura, Bottiglia con Tappo di Chiusura da 1 Litro, Cilindro per Gasare Fino a 80 Litri Incluso, Nero, Ceramica, 0","0",NA,"0","0","1670807271.83029",NA
"8","B0069ORHTS","Imetec 7744J BLS110 Gasatore d'Acqua con 3 Livelli di Gasatura, Bottiglia con Tappo di Chiusura da 1 Litro, Cilindro per Gasare Fino a 80 Litri Incluso, Nero, Arancione","0",NA,"0","0","1670807293.39439",NA
"9","B006JN451C","Imetec 7730 Cilindro Universale per Gasatori Domestici, Co2 Proveniente da Fonti Naturali, Gasa Fino a 80 Litri di Acqua, Blue","0","20.1","0","0","1670807315.43766",NA
"10","B00XMY1XVQ","IMETEC The Drinking Station WS100 Apparecchio per la Depurazione e la Gasatura Rubinetto, 120 l Depurata e Fino a 80 l di Acqua Gasata, Plastic","0",NA,"0","0","1670807337.97281",NA
"11","B00MHUG8LG","Imetec Acqua The Bottle FB 100 Bottiglia Filtrante","0",NA,"0","0","1670807360.58612",NA
"12","B007X31N7Q","Imetec Bellissima Magic Style PB1 45 Spazzola Professionale Riscaldata","0","49.99","0","0","1670807382.65367",NA
"13","B007YH05SO","Imetec Bellissima Magic Style PB1 30 Spazzola Professionale Riscaldata","0",NA,"0","0","1670807405.52007",NA
"14","B00G3NJTWS","Imetec Bellissima Magic Style PB4 30 Spazzola Professionale Riscaldata, Diametro 30 mm, Rivestimento in Ceramica, Regolazione della Temperatura, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670807427.73664",NA
"15","B00G3NJSC4","Imetec Bellissima Magic Style PB4 38 Spazzola Professionale Riscaldata, Diametro 38 mm, Rivestimento in Ceramica, Regolazione della Temperatura, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670807449.91225",NA
"16","B00EFP7L3K","Imetec Bellissima Magic Style PB1 25 Spazzola Professionale Riscaldata, Diametro 25 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670807472.4627",NA
"17","B00FGRYLHA","Imetec Bellissima Magic Style PB1 30 Spazzola Professionale Riscaldata, Diametro 30 mm, Rivestimento in Ceramica, Regolazione della Temperatura, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670807494.38519",NA
"18","B00M0K1VYM","Imetec Bellissima Magic Style PB1 38 Spazzola Professionale Riscaldata, Diametro 38 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","34.9","0","0","1670807517.03146",NA
"19","B00FXBCNP6","Imetec Bellissima Magic Style PB1 45 Spazzola Professionale Riscaldata, Diametro 45 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670807539.37579",NA
"20","B00DZK6CJK","Imetec Bellissima Magic Style PB2 25 Spazzola Professionale Riscaldata, Diametro 25 mm, Rivestimento in Gloss Titanium Ceramic, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670807561.75663",NA
"21","B00FHQJ44U","Imetec Bellissima Magic Style PB2 30 Spazzola Professionale Riscaldata, Diametro 30 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670807583.73798",NA
"22","B00FHQJ0TE","Imetec Bellissima Magic Style PB2 38 Spazzola Professionale Riscaldata, Diametro 38 mm, Rivestimento in Gloss Titanium Ceramic, Tecnologia a Ioni, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","34.9","0","0","1670807605.95485",NA
"23","B00FR5XS8Y","Imetec Bellissima Magic Style PB2 45 Spazzola Professionale Riscaldata, Diametro 45 mm, Rivestimento in Gloss Titanium Ceramic, Tecnologia a Ioni, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670807628.12376",NA
"24","B002YY6M0C","Bellissima Imetec BM 200 Piastra Mini per Capelli Lisci e Luminosi, Temperatura 200°, Multivoltaggio Automatico, Dimensioni Compatte da Viaggio","0","15.56","0","0","1670807651.15689",NA
"25","B013GDSCRK","Bellissima Imetec BHS3 100 Revolution, Arricciacapelli Automatico, Rivestimento in Ceramica","0","54.13","0","0","1670807673.77904",NA
"26","B00NTYWDNQ","Bellissima Imetec Revolution BHD1 1000 Asciugacapelli Professionale, 1400 W, con Prestazioni da 2000 W, Tecnologia a Ioni, Sistema Eco Efficiency, 8 Combinazioni Aria/Temperatura","0",NA,"0","0","1670807695.81958",NA
"27","B0089LSRZW","Imetec Bellissima Magic Style PB2 38, Spazzola Professionale Riscaldata, Rivestimento in Gloss Titanium Ceramic, Tecnologia agli Ioni, Diametro 38 mm","0",NA,"0","0","1670807717.99697",NA
"28","B004ASNGKE","Imetec Bellissima Absolute BA 230 Piastra per Capelli con Ttecnologia a Infrarossi, Capelli Liscio Duraturo, Thermo Control, Display LCD, Custodia Termoprotettiva Inclusa","0",NA,"0","0","1670807740.74977",NA
"29","B00CEH0LTW","Imetec Travel Ct1 2000 Asciugacapelli Da Viaggio, 1400 W, Doppio Voltaggio, Manico Pieghevole, Tasto Regolazione Aria Temperatura, Nero, Grigio, ‎23.2 x 15.6 x 9.8 cm; 400 grammi","0",NA,"0","0","1670807762.98796",NA
"30","B009E7CGTI","Bellissima Imetec B 100 Piastra per Capelli, Effetto Liscio, Rivestimento in Ceramica, Regolazione della Temperatura da 150°C a 230°C, Sistema di Riscaldamento Rapido, Pronto all'Uso","0","30.49","0","0","1670807785.1546",NA
"31","B006UFWP3E","Imetec Diffon DF1 1000 Diffusore ad Aria Calda per Capelli Ricci, 700 W, 2 Combinazioni Aria/Temperatura, Asciugatura Delicata, Ricci Composti Senza Effetto Crespo,Tradizionale","0","53.35","0","0","1670807808.07064",NA
"32","B00VRGPXF8","Bellissima Imetec GT15 100 Arricciacapelli, Ricci Brillanti e Definiti, Diametro 19 mm, Rivestimento in Ceramica, Riscaldamento Rapido, Pronto all'Uso","0","25.99","0","0","1670807830.45619",NA
"33","B015O6A6GC","Imetec Bellissima GT15 300 Ferro Arricciacapelli con Rivestimento in Ceramica, Sistema di riscaldamento rapido, Controllo della Temperatura","0",NA,"0","0","1670807852.84493",NA
"34","B00IZXY762","Imetec Bellissima Style Creator B6 200 Piastra per Capelli, 4 Cover per 4 Styling Diversi, Piastre Esterne Riscaldate per uno Risultato Definito e Duraturo, Rivestimento in Nano-ceramica e Tormalina","0",NA,"0","0","1670807875.01761",NA
"35","B015O6AB4E","Imetec Salon Expert P1 2300 Asciugacapelli Professionale, 2300 W, Tecnologia a Ioni, Rivestimento Griglia in Ceramica e Tormalina, 8 Combinazioni Aria/Temperatura, Diffusore Professionale","0",NA,"0","0","1670807897.6567",NA
"36","B009KM58JC","Imetec Salon Expert P1 2000 Asciugacapelli Professionale","0","25.3","0","0","1670807920.30205",NA
